STATION,WCODE,TMAX,TMIN,ELEVATION
KOLHCVNF,CVNF,15.75,74,253
KOLHODJZ,ODJZ,15.75,74.25,253
KOLHQWRD,QWRD,15.75,74.5,253
KOLHYNRR,YNRR,16,73.75,78
KOLHGUDB,GUDB,16,74,502
KOLHYBMZ,YBMZ,16,74.25,502
KOLHTYVM,TYVM,16,74.5,645
KOLHFZJK,FZJK,16.25,73.75,78
KOLHZAKG,ZAKG,16.25,74,502
KOLHVEOI,VEOI,16.25,74.25,502
KOLHXSDU,XSDU,16.25,74.5,645
KOLHOLMZ,OLMZ,16.5,73.75,266
KOLHOHXG,OHXG,16.5,74,502
KOLHXXTL,XXTL,16.5,74.25,502
KOLHRNKY,RNKY,16.5,74.5,645
KOLHUZQX,UZQX,16.5,74.75,645
KOLHTMSW,TMSW,16.75,73.75,266
KOLHKJPQ,KJPQ,16.75,74,502
KOLHSYFF,SYFF,16.75,74.25,502
SANGYWOO,YWOO,16.75,74.25,502
KOLHJZRJ,JZRJ,16.75,74.5,502
SANGVXJE,VXJE,16.75,74.5,502
KOLHWCME,WCME,16.75,74.75,645
SANGYYQL,YYQL,16.75,74.75,645
SANGYUSY,YUSY,16.75,75,645
SANGUFIG,UFIG,16.75,75.25,645
KOLHNNPW,NNPW,17,73.75,266
KOLHLFRF,LFRF,17,74,502
SANGDJGK,DJGK,17,74,502
SATAPSTX,PSTX,17,74,502
KOLHFTBA,FTBA,17,74.25,502
SANGSFLD,SFLD,17,74.25,502
SATAHQJD,HQJD,17,74.25,502
KOLHLMXQ,LMXQ,17,74.5,502
SANGDGDW,DGDW,17,74.5,502
SANGBRSJ,BRSJ,17,74.75,502
SANGPPPP,PPPP,17,75,648
SOLAWODC,WODC,17,75,648
SANGGAFT,GAFT,17,75.25,645
SANGQPOF,QPOF,17,75.5,645
SANGESWP,ESWP,17,75.75,392
KOLHKSBE,KSBE,17.25,73.75,266
SANGFFAS,FFAS,17.25,73.75,266
SATAYNGH,YNGH,17.25,73.75,266
KOLHHLBR,HLBR,17.25,74,502
SANGJPVJ,JPVJ,17.25,74,502
SATAZLEN,ZLEN,17.25,74,502
SANGZEKP,ZEKP,17.25,74.25,502
SATANJZM,NJZM,17.25,74.25,502
SANGUTFK,UTFK,17.25,74.5,648
SANGTKQN,TKQN,17.25,74.75,648
SOLATTYC,TTYC,17.25,74.75,648
SANGUEQX,UEQX,17.25,75,648
SOLAPRAK,PRAK,17.25,75,648
SANGYIDW,YIDW,17.25,75.25,648
SOLATNGM,TNGM,17.25,75.25,648
SANGTJNO,TJNO,17.25,75.5,648
SOLAXBGY,XBGY,17.25,75.5,648
SANGRMVH,RMVH,17.25,75.75,392
SOLAJVBG,JVBG,17.25,75.75,392
SOLANCSH,NCSH,17.25,76,392
SOLARSTQ,RSTQ,17.25,76.25,392
SOLALYHI,LYHI,17.25,76.5,392
SATAFHDZ,FHDZ,17.5,73.75,266
SATAMLCZ,MLCZ,17.5,74,266
