STATION,WCODE,TMAX,TMIN,ELEVATION
ANGUL,JURX,20.985,84.909,177
BOLANGIR,FZID,20.589,83.174,243
BALASORE,IRIJ,21.489,86.917,21
BARGARH,PKQU,21.219,83.353,221
BOUDHGARH,ANWZ,20.646,84.178,245
BHADRAK,KXYB,20.985,86.625,16
CUTTACK,XRFS,20.449,85.706,79
DEOGARH,DNIP,21.465,84.804,180
DHENKANAL,XMMZ,20.825,85.526,84
GAJAPATI,GLRS,19.172,84.161,508
GANJAM,NMNQ,19.626,84.671,174
JAGATSINGHPUR,VZNE,20.221,86.344,9
JAJPUR,EYMF,20.855,86.152,46
JHARSUGUDA,KXZA,21.805,83.955,223
KALAHANDI,CFVT,19.867,83.109,416
KANDHAMAL,JFGG,20.128,84.047,637
KENDRAPARA,UFDK,20.552,86.61,6
KEONJHARGARH,GGXU,21.536,85.705,470
KHURDA,PSBY,20.089,85.511,49
KORAPUT,XXLC,18.816,82.721,861
MALKANGIRI,PBDU,18.257,81.956,317
MAYURBHANJ,UTZV,21.894,86.411,478
NAWARANGPUR,FBRT,19.587,82.338,577
NAYAGARH,WPNH,20.212,84.999,169
NAWAPARA,GGZP,20.465,82.578,667
PURI,ZFIK,19.876,85.721,17
RAYAGADA,DULC,19.361,83.514,464
SAMBALPUR,PYTC,21.451,84.281,300
SONEPUR,CHQQ,20.93,83.825,146
SUNDARGARH,VOLB,22.079,84.511,491
