STATION,WCODE,TMAX,TMIN,ELEVATION
AMRITSAR,XOWC,31.703,74.901,227
BARNALA,DIKL,30.396,75.505,227
BHATINDA,THMK,30.181,75.041,209
FARIDKOT,VOKO,30.609,74.779,199
FATEHGARH_SAHIB,FVCH,30.631,76.365,270
FEROZEPUR,LZSA,30.559,74.401,187
GURDASPUR,JTWV,32.023,75.386,250
HOSHIARPUR,KEMF,31.625,75.859,297
JALANDHAR,QNBU,31.211,75.567,231
KAPURTHALA,DIRQ,31.353,75.403,230
LUDHIANA,OTXQ,30.807,75.838,247
MANSA,LJSB,29.907,75.439,219
MOGA,MLHI,30.769,75.168,222
MUKTSAR,PUUO,30.293,74.541,194
PATIALA,SVCT,30.28,76.354,251
ROPAR,SDEF,31.058,76.486,305
SAS_NAGAR_MOHALI,LZIF,30.68,76.738,352
SANGRUR,QUPR,30.212,75.869,235
NAWANSHAHAR,BRIA,31.108,76.156,306
TARN_TARAN,SGBH,31.336,74.845,219
