STATION,WCODE,TMAX,TMIN,ELEVATION
AJMER,AJME,26.41,74.6,470
BANASTHALI,TONK,26.17,75.78,280
BARMER,BARM,26.28,73.1,249
BIKANER,BIKA,28.1,73.31,228
BUNDI,BUND,25.44,75.64,268
CHITTORGARGH,CHIT,24.9,74.63,408
CHURU,CHUR,28.1,73.31,228
DABOK,UDAI,25.51,73.7,590
JAIPUR,JAIP,26.91,75.8,429
JAISALMER,JASM,26.92,70.9,225
JODHPUR,JODH,26.28,73.1,249
KOTA,KOTA,25.16,75.83,267
PILANI,JHUN,28.11,75.4,349
SAWAIMADHAPUR,SAWA,25.98,76.36,257
SRIGANGANAGAR,GANG,29.15,73.13,179
KAROLI,KARO,27.56,76.62,286
NAGAUR,NAGA,27.21,73.74,302
PALI,PALI,25.77,73.32,218
RAJSAMAND,RAJS,25.07,73.88,547
SIKAR,SIKA,27.63,75.17,427
SIROHI,SIRO,24.89,72.84,321
ALWAR,ALWA,27.56,76.63,268
BANSWARA,BANS,23.55,74.43,302
BARAN,BARA,25.1,76.51,266
BHARATPUR,BHAR,27.21,77.49,182
BHILWARA,BHIL,25.35,74.63,421
DAUSA,DAUS,26.89,76.33,327
DHOLPUR,DHOL,26.7,77.89,177
DUNGARPUR,DUNG,23.5,73.43,225
JALORE,JALO,25.34,72.62,97
JHALAWAR,JHAL,24.59,76.16,312
JHUNJHUNU,JHUN,28.12,75.39,323
TONK,TONK,26.23,75.78,289
PRATABGARH,PRAT,24.02,74.4,491
HANUMANGARH,HANU,29.35,74.21,177
