STATION,WCODE,LAT,LONG,ELEVATION
West_Midnapore,VWBR,21.75,87,470
West_Midnapore,XQTZ,21.75,87.25,280
East_Midnapore,VPTW,21.75,87.5,249
West_Midnapore,EDPF,21.75,87.5,228
East_Midnapore,DUYP,21.75,87.75,268
South_24_Parganas,ESMR,21.75,88.25,408
West_Midnapore,MZCL,22,86.75,228
West_Midnapore,ELZK,22,87,590
West_Midnapore,OQXQ,22,87.25,429
East_Midnapore,WYSY,22,87.5,225
West_Midnapore,JPWI,22,87.5,249
East_Midnapore,IVNC,22,87.75,267
West_Midnapore,YGED,22,87.75,349
East_Midnapore,ZUFB,22,88,257
South_24_Parganas,ZHTG,22,88,179
East_Midnapore,DCFK,22,88.25,286
South_24_Parganas,VGLI,22,88.25,302
South_24_Parganas,FXOR,22,88.5,218
West_Midnapore,EKMZ,22.25,86.75,547
West_Midnapore,WYXG,22.25,87,427
West_Midnapore,GREG,22.25,87.25,321
West_Midnapore,MDGE,22.25,87.5,268
East_Midnapore,XHEM,22.25,87.75,302
West_Midnapore,IEMO,22.25,87.75,266
East_Midnapore,MQCW,22.25,88,182
Haora,EVBC,22.25,88,421
South_24_Parganas,ZWOS,22.25,88,327
East_Midnapore,EPEO,22.25,88.25,177
South_24_Parganas,HPKU,22.25,88.25,225
South_24_Parganas,NSAQ,22.25,88.5,97
North_24_Parganas,BVNT,22.25,89,312
West_Midnapore,GVBJ,22.5,86.75,323
Bankura,CUJC,22.5,87,289
West_Midnapore,IVKF,22.5,87,491
West_Midnapore,NMXK,22.5,87.25,177
West_Midnapore,MXZI,22.5,87.5,177
East_Midnapore,ADCQ,22.5,87.75,177
Haora,DQTI,22.5,87.75,177
Hugli,MXNJ,22.5,87.75,177
West_Midnapore,XUTK,22.5,87.75,177
East_Midnapore,PUOG,22.5,88,177
Haora,PPTT,22.5,88,177
Hugli,WPCA,22.5,88,177
South_24_Parganas,WBVM,22.5,88,177
West_Midnapore,FCUK,22.5,88,177
Haora,PCXK,22.5,88.25,177
Kolkata,VHSH,22.5,88.25,177
