STATION,WCODE,TMAX,TMIN,ELEVATION
ARARIA,PKUR,26.198,87.354,60
AURANGABAD,PYQL,24.792,84.412,130
BANKA,YZJU,24.852,86.841,110
BEGUSARAI,IXQH,25.494,86.131,46
BHAGALPUR,SOUT,25.269,87.084,52
BHOJPUR,SLVP,25.468,84.544,69
BUXAR,RJDZ,25.49,84.102,67
CHAPRA,CHPR,25.78,84.72,36
DARBHANGA,VARQ,26.113,86.025,52
GAYA,BGHX,24.698,84.936,153
GOPALGANJ,OOQV,26.441,84.377,71
JAMUI,RLAI,24.783,86.295,139
BHABUA,GRHP,24.99,83.607,112
KATIHAR,TCFB,25.545,87.644,34
KHAGARIA,FHSY,25.511,86.603,43
KISHANGANJ,VRXD,26.294,87.935,80
LAKHISARAI,CHEQ,25.154,86.131,66
MADHEPURA,RNYV,25.825,86.896,46
MADHUBANI,ZWDX,26.404,86.218,72
MONGHYR,MONY,25.209,86.527,96
MOTIHARI,MTHR,25,84,50
MUZAFFARPUR,WACQ,26.15,85.331,57
NALANDA,KZXO,25.22,85.456,58
NAWADA,ZRHO,24.81,85.594,152
WEST_CHAMPARAN,VDLB,27.078,84.341,96
PATNA,NSWT,25.455,85.222,54
EAST_CHAMPARAN,LQWB,26.617,84.925,69
PURNEA,HPBI,25.815,87.407,42
ROHTAS,MDIQ,24.978,84.028,113
SAHARSA,WWVP,25.815,86.59,44
SAMASTIPUR,AHXC,25.776,85.904,50
SARAN,SWYA,25.903,84.825,58
SHEIKHPURA,UISD,25.131,85.829,63
SHEOHAR,LJAS,26.526,85.29,71
SITAMARHI,VMOX,26.575,85.54,69
SIWAN,CKLC,26.159,84.39,64
SUPAUL,FOVM,26.246,86.8,60
VAISHALI,ZNKX,25.761,85.37,52
ARWAL,MJUX,25.16,84.69,82
JAHANABAD,XNHN,25.155,85.03,75
