STATION,WCODE,TMAX,TMIN,ELEVATION
AMBALA,EOFJ,30.327,76.942,278
BHIWANI,QJQB,28.717,75.968,227
FARIDABAD,ZKOG,28.331,77.355,211
FATEHABAD,FDJY,29.575,75.579,215
GURGAON,SONF,28.367,76.941,233
HISAR,YDTU,29.214,75.816,215
JHAJJAR,EXWA,28.603,76.649,220
KAITHAL,PONX,29.813,76.418,238
KARNAL,ZCDB,29.686,76.885,245
KAUL,KAUL,29.84,76.66,200
KURUKSHETRA,LTAH,30.044,76.786,253
MAHENDRAGARH,TWRX,28.172,76.143,312
MEWAT,XWGF,27.98,77.047,194
NARNAUL,NARN ,28,76,318
PALWAL,JWGJ,28.046,77.318,195
PANCHKULA,SHME,30.685,76.978,617
PANIPAT,WTGV,29.331,76.926,231
REWARI,WKZX,28.234,76.543,251
ROHTAK,UGAT,28.913,76.529,221
SIRSA,UBLJ,29.613,74.902,195
SONEPAT,QOEL,29.06,76.88,226
YAMUNA_NAGAR,DKNN,30.235,77.305,291
JIND,MJPT,29.434,76.301,226
