STATION,WCODE,TMAX,TMIN,ELEVATION
AGRA,YTUF,27.036,78.08,160
ALIGARH,JQSB,27.926,78.079,185
ALLAHABAD,QJLE,25.298,81.972,99
AMBEDKAR_NAGAR,LGDZ,26.419,82.669,89
AURAIYA,XJPL,26.659,79.483,142
AZAMGARH,XKSK,26.046,83.07,81
BAGHPAT,LKES,29.054,77.313,226
BAHRAICH,ESSF,27.735,81.452,130
BALLIA,XAFK,25.874,84.106,63
BALRAMPUR,PSWI,27.484,82.378,162
BANDA,MZMA,25.464,80.562,118
BARABANKI,PFYL,26.937,81.327,117
BAREILLY,ZAJN,28.448,79.422,176
BASTI,HCML,26.817,82.631,88
BIJNOR,TYYC,29.386,78.399,244
BUDAUN,RHRO,28.114,78.945,175
BULANDSHAHAR,EGIJ,28.356,78.012,199
CHANDAULI,ICJJ,25.136,83.261,104
CHITRAKUT,ZOQK,25.204,81.09,133
DEORIA,KPII,26.421,83.837,75
ETAH,VJUX,27.511,78.713,169
ETAWAH,HXXB,26.758,79.097,134
FAIZABAD,YGKO,26.658,81.992,104
FARRUKHABAD,HHJB,27.429,79.461,152
FATEHPUR,ZQAS,25.872,80.807,116
FIROZABAD,CXNO,27.179,78.54,163
GAUTAM_BUDDHA_NAGAR,CMAP,28.397,77.547,199
GHAZIABAD,GJDM,28.738,77.707,212
GHAZIPUR,LQHR,25.621,83.556,70
GONDA,JJGS,27.083,82.026,102
GORAKHPUR,LOYV,26.657,83.361,81
HAMIRPUR,FBFA,25.73,79.879,133
HARDOI,SGZH,27.327,80.163,141
MAHAMAYA_NAGAR,CHZY,27.576,78.162,172
JALAUN,QCJI,26.09,79.387,142
JAUNPUR,YRJO,25.745,82.576,87
JHANSI,HMLM,25.504,78.954,208
JYOTIBA_PHULE_NAGAR,OGTQ,28.812,78.329,210
KANNAUJ,BHJF,27.011,79.688,143
KANPUR,SWUY,26.444,79.857,134
KANPUR,JBNU,26.379,80.216,124
KANSHIRAM_NAGAR,IJRY,27.776,78.845,171
KAUSHAMBI,NZCU,25.488,81.454,106
KHERI,KHER,27.54,80.48,148
LAKHIMPUR,NVWR,28.121,80.667,149
KAUSINAGAR,GROJ,26.86,83.935,83
LALITPUR,AYPK,24.652,78.562,364
LUCKNOW,JCZT,26.84,80.907,122
MAHARAJGANJ,KFUJ,27.201,83.533,102
MAHOBA,AFDW,25.343,79.697,188
MAINPURI,YZTL,27.179,79.059,156
MATHURA,CBVP,27.595,77.628,182
MAUU,BGLU,26.042,83.563,74
MEERUT,IFNY,29.034,77.794,224
MIRZAPUR,WFCC,24.984,82.619,158
MORADABAD,XINW,28.774,78.709,202
MUZAFFARNAGAR,IDRW,29.438,77.592,245
NOIDA,NOID,28.5,77.39,198
PILIBHIT,YWOH,28.54,79.962,195
PRATAPGARH,DPBL,25.871,81.831,101
RAEBARELI,IHEW,26.228,81.231,116
RAMPUR,VZWL,28.794,79.106,184
SAHARANPUR,KSSP,29.948,77.548,286
SANT_KABIR_NAGAR,DUFR,26.789,83.035,83
SANRAVIDAS_NAGAR,PQCF,25.347,82.464,92
SHAHJAHANPUR,SBEW,27.974,79.845,159
SHRAWASTINAGAR,KJCX,27.653,81.884,128
SIDDHARTH_NAGAR,UBBN,27.273,82.873,103
SITAPUR,JCPQ,27.516,80.857,135
SONBHADRA,HIXF,24.401,83.054,239
SULTANPUR,QJOL,26.274,82.02,101
UNNAO,IGTH,26.608,80.559,126
VARANASI,IVNH,25.387,82.918,86
